ax,ay,az
2.00,1.75,-2.00
2.00,1.81,-1.77
1.05,2.00,1.61
-0.44,2.00,2.00
-1.37,1.32,2.00
-2.00,0.18,2.00
-2.00,-0.17,1.61
-1.87,0.09,0.89
-0.87,0.19,-0.99
0.98,0.34,-2.00
1.58,1.29,-2.00
2.00,1.71,-2.00
2.00,1.81,-1.85
1.05,2.00,1.57
-0.43,2.00,2.00
-1.35,1.31,2.00
-2.00,0.16,2.00
-2.00,-0.16,1.64
-1.88,0.09,0.83
-0.83,0.20,-1.08
1.09,0.39,-2.00
1.61,1.35,-2.00
2.00,1.75,-2.00
2.00,1.86,-1.40
0.67,2.00,1.91
-0.59,1.92,2.00
-1.56,1.12,2.00
-2.00,0.03,2.00
-2.00,-0.06,1.46
-1.75,0.12,0.49
-0.27,0.01,-1.97
1.50,0.60,-2.00
1.82,1.53,-2.00
2.00,1.84,-2.00
2.00,2.00,-0.19
0.02,2.00,2.00
-0.86,1.64,2.00
-1.83,0.65,2.00
-2.00,-0.19,1.81
-2.00,0.01,1.17
-1.39,0.21,-0.26
0.53,0.14,-2.00
1.57,1.08,-2.00
2.00,1.62,-2.00
2.00,1.82,-2.00
1.32,2.00,1.30
-0.41,2.00,2.00
-1.28,1.38,2.00
-2.00,0.22,2.00
-2.00,-0.20,1.62
-1.90,0.11,0.91
-0.91,0.21,-0.89
0.88,0.29,-2.00
1.58,1.24,-2.00
2.00,1.69,-2.00
2.00,1.84,-1.94
1.12,2.00,1.50
-0.45,2.00,2.00
-1.33,1.31,2.00
-2.00,0.17,2.00
-2.00,-0.21,1.61
-1.86,0.08,0.86
-0.88,0.18,-0.97
0.94,0.34,-2.00
1.55,1.29,-2.00
2.00,1.74,-2.00
2.00,1.81,-1.89
1.09,2.00,1.54
-0.44,2.00,2.00
-1.37,1.30,2.00
-2.00,0.12,2.00
-2.00,-0.13,1.61
-1.82,0.07,0.72
-0.59,0.12,-1.46
1.40,0.55,-2.00
1.77,1.47,-2.00
2.00,1.82,-2.00
2.00,1.97,-0.36
0.00,2.00,2.00
-0.90,1.61,2.00
-1.90,0.57,2.00
-2.00,-0.19,1.77
-1.98,0.03,1.10
1.61,1.20,-2.00
2.00,1.70,-2.00
2.00,1.82,-1.74
0.81,2.00,1.74
-0.55,1.96,2.00
-1.54,1.14,2.00
-2.00,0.02,2.00
-2.00,-0.09,1.45
-1.68,0.16,0.36
-0.00,0.04,-2.00
1.56,0.80,-2.00
2.00,1.55,-2.00
2.00,1.81,-2.00
1.38,2.00,1.24
-0.38,2.00,2.00
-1.40,1.30,2.00
-2.00,0.07,2.00
-2.00,-0.10,1.56
-1.78,0.15,0.50
-0.21,0.02,-2.00
1.54,0.67,-2.00
1.87,1.52,-2.00
2.00,1.83,-2.00
1.90,2.00,0.28
-0.18,2.00,2.00
-1.05,1.57,2.00
-1.93,0.48,2.00
-2.00,-0.17,1.77
-1.99,0.05,1.09
-1.22,0.23,-0.46
0.64,0.19,-2.00
1.56,1.12,-2.00
2.00,1.65,-2.00
2.00,1.81,-2.00
1.04,2.00,1.55
-0.45,2.00,2.00
-1.45,1.24,2.00
-2.00,0.05,2.00
-2.00,-0.12,1.55
-1.80,0.11,0.62
-0.41,0.07,-1.72
1.41,0.55,-2.00
1.78,1.51,-2.00
2.00,1.80,-2.00
2.00,1.99,-0.48
0.12,2.00,2.00
-0.78,1.72,2.00
-1.79,0.81,2.00
-2.00,-0.15,1.95
-2.00,-0.01,1.30
-1.50,0.17,0.06
0.18,0.03,-2.00
1.55,0.87,-2.00
2.00,1.58,-2.00
2.00,1.84,-2.00
1.44,2.00,1.17
-0.37,2.00,2.00
-1.30,1.35,2.00
-2.00,0.17,2.00
-2.00,-0.20,1.62
-1.86,0.09,0.79
-0.69,0.14,-1.39
1.33,0.48,-2.00
1.68,1.45,-2.00
2.00,1.81,-2.00
2.00,1.92,-0.87
0.32,2.00,2.00
-0.70,1.82,2.00
-1.71,0.93,2.00
-2.00,-0.09,2.00
-2.00,-0.10,1.40
-1.67,0.18,0.38
-0.23,0.00,-2.00
1.49,0.61,-2.00
1.78,1.50,-2.00
2.00,1.84,-2.00
2.00,1.97,-0.55
0.20,2.00,2.00
-0.73,1.78,2.00
-1.66,0.94,2.00
-2.00,-0.07,2.00
-2.00,-0.08,1.42
-1.71,0.17,0.47
-0.30,0.02,-1.93
1.46,0.59,-2.00
1.82,1.50,-2.00
2.00,1.83,-2.00
2.00,2.00,-0.36
0.04,2.00,2.00
-0.84,1.64,2.00
-1.83,0.70,2.00
-2.00,-0.15,1.87
-2.00,0.01,1.21
-1.41,0.22,-0.11
0.37,0.06,-2.00
1.54,0.98,-2.00
2.00,1.65,-2.00
2.00,1.83,-2.00
1.23,2.00,1.42
-0.44,2.00,2.00
-1.42,1.24,2.00
-2.00,0.05,2.00
-2.00,-0.15,1.55
-1.80,0.16,0.59
-0.37,0.05,-1.82
1.48,0.63,-2.00
1.87,1.49,-2.00
2.00,1.79,-2.00
1.86,2.00,0.47
-0.29,2.00,2.00
-1.17,1.42,2.00
-2.00,0.25,2.00
-2.00,-0.15,1.61
-1.80,0.12,0.76
-0.40,0.05,-1.79
1.50,0.59,-2.00
1.89,1.50,-2.00
2.00,1.81,-2.00
1.45,2.00,1.18
-0.43,2.00,2.00
-1.59,1.17,2.00
-2.00,-0.01,2.00
-2.00,0.05,1.34
-1.36,0.25,-0.25
0.80,0.25,-2.00
1.63,1.32,-2.00
2.00,1.72,-2.00
2.00,2.00,0.07
-0.23,2.00,2.00
-1.30,1.36,2.00
-1.82,0.13,0.67
-0.13,0.00,-2.00
1.57,0.85,-2.00
2.00,1.59,-2.00
2.00,1.80,-1.72
0.51,2.00,2.00
-0.75,1.79,2.00
-1.89,0.68,2.00
-2.00,-0.17,1.72
-2.00,0.07,0.99
-0.86,0.16,-1.12
1.30,0.43,-2.00
1.79,1.46,-2.00
2.00,1.78,-2.00
1.95,2.00,0.15
-0.24,2.00,2.00
-1.14,1.48,2.00
-2.00,0.28,2.00
-2.00,-0.18,1.66
-1.89,0.08,0.78
-0.59,0.12,-1.54
1.37,0.52,-2.00
1.82,1.49,-2.00
2.00,1.78,-2.00
2.00,1.92,-0.50
0.13,2.00,2.00
-0.73,1.80,2.00
-1.71,0.95,2.00
-2.00,-0.07,2.00
-2.00,-0.13,1.44
-1.75,0.15,0.54
-0.45,0.11,-1.65
1.33,0.49,-2.00
